OUT_ID,STO_NM,SHIP_YM,SERVICE_TYPE,ORDER_CNT,BOX_TOT,WEIGHT_KG
OUT0000001,Sample Pharma 0001,2024-02,Cold Chain,5,63.104,570.78
OUT0000002,Sample Pharma 0001,2024-03,Cold Chain,8,89.391,712.37
OUT0000003,Sample Pharma 0001,2024-04,Standard,5,44.045,419.19
OUT0000004,Sample Pharma 0001,2024-05,Standard,10,142.874,570.73
OUT0000005,Sample Pharma 0001,2024-06,Standard,5,59.377,227.62
OUT0000006,Sample Pharma 0001,2024-07,Cold Chain,10,151.494,795.26
OUT0000007,Sample Pharma 0001,2024-10,Standard,5,38.169,267.73
OUT0000008,Sample Pharma 0001,2024-12,Standard,8,120.398,1026.61
OUT0000009,Sample Pharma 0001,2025-01,Standard,4,59.356,404.11
OUT0000010,Sample Pharma 0001,2025-02,Standard,5,41.381,282.7
OUT0000011,Sample Pharma 0001,2025-03,Standard,7,74.065,665.49
OUT0000012,Sample Pharma 0001,2025-05,Standard,6,83.812,815.06
OUT0000013,Sample FoodService 0002,2024-01,Cold Chain,26,219.341,1660.05
OUT0000014,Sample FoodService 0002,2024-02,Standard,25,268.064,1881.62
OUT0000015,Sample FoodService 0002,2024-03,Standard,18,254.851,2335.82
OUT0000016,Sample FoodService 0002,2024-04,Cold Chain,20,235.284,1546.45
OUT0000017,Sample FoodService 0002,2024-05,Standard,16,214.524,1023.02
OUT0000018,Sample FoodService 0002,2024-06,Standard,22,319.179,1050.68
OUT0000019,Sample FoodService 0002,2024-07,Standard,31,477.628,3349.67
OUT0000020,Sample FoodService 0002,2024-08,Priority,29,303.563,2388.6
OUT0000021,Sample FoodService 0002,2024-09,Standard,38,458.752,2474.8
OUT0000022,Sample FoodService 0002,2024-10,Standard,33,265.897,1326.95
OUT0000023,Sample FoodService 0002,2024-11,Standard,34,266.637,1241.71
OUT0000024,Sample FoodService 0002,2024-12,Standard,41,296.524,1235.12
OUT0000025,Sample FoodService 0002,2025-01,Priority,30,330.584,1475.94
OUT0000026,Sample FoodService 0002,2025-02,Priority,12,171.194,1563.56
OUT0000027,Sample FoodService 0002,2025-03,Standard,13,137.751,1002.24
OUT0000028,Sample FoodService 0002,2025-04,Standard,22,186.559,1550.72
OUT0000029,Sample FoodService 0002,2025-05,Standard,17,148.449,1021.06
OUT0000030,Sample FoodService 0002,2025-06,Standard,19,200.892,1747.51
OUT0000031,Sample Manufacturing 0003,2024-01,Standard,12,87.329,841.51
OUT0000032,Sample Manufacturing 0003,2024-03,Standard,20,222.93,1201.59
OUT0000033,Sample Manufacturing 0003,2024-04,Cold Chain,17,184.547,1294.72
OUT0000034,Sample Manufacturing 0003,2024-05,Standard,16,164.049,1252.11
OUT0000035,Sample Manufacturing 0003,2024-06,Standard,22,302.476,1217.07
OUT0000036,Sample Manufacturing 0003,2024-07,Standard,24,308.279,2012.77
OUT0000037,Sample Manufacturing 0003,2024-08,Standard,28,252.923,1324.36
OUT0000038,Sample Manufacturing 0003,2024-09,Standard,11,142.661,1263.17
OUT0000039,Sample Manufacturing 0003,2024-10,Standard,19,234.613,2047.64
OUT0000040,Sample Manufacturing 0003,2024-11,Cold Chain,16,234.729,2278.84
OUT0000041,Sample Manufacturing 0003,2024-12,Standard,15,202.949,1540.89
OUT0000042,Sample Manufacturing 0003,2025-01,Standard,11,105.818,920.78
OUT0000043,Sample Manufacturing 0003,2025-02,Standard,13,107.822,635.84
OUT0000044,Sample Manufacturing 0003,2025-03,Standard,21,215.916,1146.41
OUT0000045,Sample Manufacturing 0003,2025-05,Standard,17,244.894,2232.67
OUT0000046,Sample Manufacturing 0003,2025-06,Priority,16,222.776,974.77
OUT0000047,Sample E-commerce 0004,2024-02,Standard,7,80.58,337.82
OUT0000048,Sample E-commerce 0004,2024-03,Standard,8,62.454,255.37
OUT0000049,Sample E-commerce 0004,2024-05,Standard,4,35.817,321.79
OUT0000050,Sample E-commerce 0004,2024-06,Cold Chain,6,62.07,480.66
OUT0000051,Sample E-commerce 0004,2024-08,Standard,14,115.307,693.81
OUT0000052,Sample E-commerce 0004,2024-09,Standard,7,98.157,441.93
OUT0000053,Sample E-commerce 0004,2024-10,Standard,7,85.609,298.34
OUT0000054,Sample E-commerce 0004,2025-02,Cold Chain,8,122.686,852.15
OUT0000055,Sample E-commerce 0004,2025-04,Standard,8,96.629,335.46
OUT0000056,Sample E-commerce 0004,2025-05,Standard,8,87.809,560.35
OUT0000057,Sample E-commerce 0004,2025-06,Standard,2,18.426,170.06
OUT0000058,Sample Pharma 0005,2024-01,Standard,9,132.558,1217.86
OUT0000059,Sample Pharma 0005,2024-02,Standard,6,63.893,292.33
OUT0000060,Sample Pharma 0005,2024-03,Standard,16,179.081,1703.55
OUT0000061,Sample Pharma 0005,2024-04,Standard,12,97.406,865.55
OUT0000062,Sample Pharma 0005,2024-05,Standard,9,69.492,461.33
OUT0000063,Sample Pharma 0005,2024-06,Standard,9,133.75,912.89
OUT0000064,Sample Pharma 0005,2024-07,Standard,19,223.444,2073.58
OUT0000065,Sample Pharma 0005,2024-08,Standard,9,101.198,471.61
OUT0000066,Sample Pharma 0005,2024-09,Standard,11,166.341,909.28
OUT0000067,Sample Pharma 0005,2024-10,Standard,11,156.708,1166.55
OUT0000068,Sample Pharma 0005,2024-11,Standard,23,353.628,2754.49
OUT0000069,Sample Pharma 0005,2024-12,Standard,12,141.573,1374.44
OUT0000070,Sample Pharma 0005,2025-01,Priority,7,103.339,838.71
OUT0000071,Sample Pharma 0005,2025-02,Standard,9,137.325,640.37
OUT0000072,Sample Pharma 0005,2025-03,Standard,9,130.347,1076.25
OUT0000073,Sample Pharma 0005,2025-04,Standard,7,98.818,622.06
OUT0000074,Sample Pharma 0005,2025-05,Standard,7,82.686,808.76
OUT0000075,Sample Manufacturing 0006,2024-03,Standard,41,401.946,2046.05
OUT0000076,Sample Manufacturing 0006,2024-04,Standard,42,307.075,2429.14
OUT0000077,Sample Manufacturing 0006,2024-05,Standard,23,284.44,2772.45
OUT0000078,Sample Manufacturing 0006,2024-07,Priority,17,194.519,1149.64
OUT0000079,Sample Manufacturing 0006,2024-09,Standard,41,632.749,4215.79
OUT0000080,Sample Manufacturing 0006,2024-10,Standard,36,342.152,2275.4
OUT0000081,Sample Manufacturing 0006,2024-11,Standard,29,258.513,2127.97
OUT0000082,Sample Manufacturing 0006,2024-12,Standard,45,404.757,1422.7
OUT0000083,Sample Manufacturing 0006,2025-02,Standard,23,174.01,609.77
OUT0000084,Sample Manufacturing 0006,2025-03,Standard,17,130.022,893.9
OUT0000085,Sample Manufacturing 0006,2025-04,Standard,34,422.345,3784.16
OUT0000086,Sample Manufacturing 0006,2025-05,Standard,35,342.692,1685.16
OUT0000087,Sample E-commerce 0007,2024-01,Standard,9,117.372,970.82
OUT0000088,Sample E-commerce 0007,2024-02,Standard,18,221.501,732.69
OUT0000089,Sample E-commerce 0007,2024-04,Standard,15,207.618,1581.89
OUT0000090,Sample E-commerce 0007,2024-05,Standard,12,139.585,995.82
OUT0000091,Sample E-commerce 0007,2024-08,Cold Chain,10,75.279,655.7
OUT0000092,Sample E-commerce 0007,2024-09,Standard,5,61.041,540.1
OUT0000093,Sample E-commerce 0007,2024-10,Standard,8,59.358,338.53
OUT0000094,Sample E-commerce 0007,2024-12,Standard,15,105.477,512.5
OUT0000095,Sample E-commerce 0007,2025-01,Cold Chain,14,113.71,972.83
OUT0000096,Sample E-commerce 0007,2025-02,Standard,6,88.642,463.83
OUT0000097,Sample E-commerce 0007,2025-03,Standard,11,138.876,745.85
OUT0000098,Sample E-commerce 0007,2025-04,Standard,10,92.983,509.44
OUT0000099,Sample E-commerce 0007,2025-05,Standard,5,71.385,549.64
OUT0000100,Sample E-commerce 0007,2025-06,Standard,7,58.992,312.83
OUT0000101,Sample Manufacturing 0008,2024-02,Standard,8,82.368,655.43
OUT0000102,Sample Manufacturing 0008,2024-03,Standard,22,274.241,1551.94
OUT0000103,Sample Manufacturing 0008,2024-05,Priority,15,203.051,1384.49
OUT0000104,Sample Manufacturing 0008,2024-06,Standard,14,143.541,955.74
OUT0000105,Sample Manufacturing 0008,2024-09,Standard,11,112.883,484.32
OUT0000106,Sample Manufacturing 0008,2024-10,Standard,19,291.719,1470.6
OUT0000107,Sample Manufacturing 0008,2024-11,Standard,23,264.221,1173.84
OUT0000108,Sample Manufacturing 0008,2024-12,Standard,39,455.228,1528.96
OUT0000109,Sample Manufacturing 0008,2025-02,Cold Chain,25,190.745,1646.45
OUT0000110,Sample Manufacturing 0008,2025-05,Standard,17,251.452,2165.08
OUT0000111,Sample Manufacturing 0008,2025-06,Standard,9,124.616,684.69
OUT0000112,Sample E-commerce 0009,2024-02,Cold Chain,11,87.174,304.12
OUT0000113,Sample E-commerce 0009,2024-03,Priority,19,231.428,2029.67
OUT0000114,Sample E-commerce 0009,2024-05,Standard,23,192.061,886.6
OUT0000115,Sample E-commerce 0009,2024-06,Standard,11,94.525,529.09
OUT0000116,Sample E-commerce 0009,2024-07,Cold Chain,22,267.993,1682.13
OUT0000117,Sample E-commerce 0009,2024-09,Standard,20,156.324,1381.44
OUT0000118,Sample E-commerce 0009,2024-10,Standard,20,248.008,1240.37
OUT0000119,Sample E-commerce 0009,2024-11,Standard,14,153.277,705.66
OUT0000120,Sample E-commerce 0009,2024-12,Standard,26,350.252,2644.48
OUT0000121,Sample E-commerce 0009,2025-01,Cold Chain,13,135.527,941.56
OUT0000122,Sample E-commerce 0009,2025-02,Standard,22,332.221,2749.27
OUT0000123,Sample E-commerce 0009,2025-05,Standard,20,239.741,1095.96
OUT0000124,Sample E-commerce 0009,2025-06,Cold Chain,40,323.968,1879.34
OUT0000125,Sample Convenience 0010,2024-01,Standard,6,86.258,355.1
OUT0000126,Sample Convenience 0010,2024-02,Cold Chain,5,69.779,363.64
OUT0000127,Sample Convenience 0010,2024-04,Standard,3,39.4,225.38
OUT0000128,Sample Convenience 0010,2024-05,Standard,4,56.463,308.28
OUT0000129,Sample Convenience 0010,2024-08,Standard,11,140.747,1077.96
OUT0000130,Sample Convenience 0010,2024-09,Priority,4,31.0,118.5
OUT0000131,Sample Convenience 0010,2024-10,Standard,11,121.592,709.54
OUT0000132,Sample Convenience 0010,2024-11,Cold Chain,7,98.354,833.68
OUT0000133,Sample Convenience 0010,2024-12,Standard,5,54.373,511.04
OUT0000134,Sample Convenience 0010,2025-02,Cold Chain,9,121.111,1143.73
OUT0000135,Sample Convenience 0010,2025-03,Standard,4,49.115,434.28
OUT0000136,Sample Convenience 0010,2025-04,Standard,8,61.249,584.73
OUT0000137,Sample Convenience 0011,2024-03,Standard,14,121.253,1062.13
OUT0000138,Sample Convenience 0011,2024-04,Standard,9,122.992,642.9
OUT0000139,Sample Convenience 0011,2024-05,Standard,13,182.718,1635.4
OUT0000140,Sample Convenience 0011,2024-06,Standard,9,133.047,1065.9
OUT0000141,Sample Convenience 0011,2024-08,Standard,12,97.148,886.3
OUT0000142,Sample Convenience 0011,2024-09,Standard,10,93.102,766.38
OUT0000143,Sample Convenience 0011,2024-10,Standard,8,58.866,547.53
OUT0000144,Sample Convenience 0011,2024-11,Standard,11,169.367,1216.36
OUT0000145,Sample Convenience 0011,2024-12,Standard,17,148.981,1317.36
OUT0000146,Sample Convenience 0011,2025-01,Standard,8,97.19,762.74
OUT0000147,Sample Convenience 0011,2025-02,Standard,13,114.846,1030.53
OUT0000148,Sample Convenience 0011,2025-04,Standard,24,211.421,1109.16
OUT0000149,Sample Convenience 0011,2025-05,Standard,17,134.778,1261.32
OUT0000150,Sample Convenience 0011,2025-06,Standard,12,153.559,932.29
OUT0000151,Sample FoodService 0012,2024-01,Standard,27,222.058,2060.18
OUT0000152,Sample FoodService 0012,2024-02,Standard,11,150.648,1051.27
OUT0000153,Sample FoodService 0012,2024-03,Standard,14,181.237,1568.21
OUT0000154,Sample FoodService 0012,2024-04,Standard,21,160.142,801.04
OUT0000155,Sample FoodService 0012,2024-06,Cold Chain,11,165.597,1145.28
OUT0000156,Sample FoodService 0012,2024-07,Standard,14,176.974,1344.44
OUT0000157,Sample FoodService 0012,2024-08,Standard,17,151.72,964.92
